price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,crossings_05,price_early,price_mid,price_late,duration_minutes,volume,coin,label
0.495,0.465,0.465,0.465,0.445,0.445,0.455,0.43,0.455,0.455,0,0.465,0.445,0.455,60,48203.37448299995,0,0
0.5,0.49,0.475,0.46,0.465,0.46,0.465,0.465,0.465,0.45,1,0.49,0.46,0.455,60,43672.80660299997,0,0
0.5,0.49,0.49,0.475,0.475,0.45,0.445,0.465,0.465,0.43,1,0.49,0.47,0.465,60,45897.47420900006,0,1
0.5,0.49,0.49,0.46,0.46,0.46,0.475,0.485,0.485,0.45,1,0.49,0.46,0.485,60,47649.41681200002,0,1
0.5,0.505,0.505,0.505,0.505,0.455,0.455,0.45,0.445,0.45,1,0.505,0.505,0.455,60,52343.23655099999,0,1
0.5,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.435,1,0.495,0.495,0.465,60,40887.19464000001,0,0
0.5,0.49,0.49,0.51,0.495,0.5,0.485,0.51,0.54,0.545,6,0.485,0.5,0.52,60,34785.273018,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.475,0.485,0.465,1,0.505,0.505,0.465,60,30031.883069000014,0,0
0.5,0.505,0.505,0.505,0.505,0.505,0.515,0.515,0.515,0.535,0,0.505,0.505,0.53,60,38659.28189600001,0,0
0.505,0.505,0.505,0.5,0.5,0.5,0.5,0.495,0.495,0.515,2,0.505,0.5,0.495,60,40972.56804800004,0,0
0.5,0.505,0.505,0.5,0.5,0.5,0.5,0.505,0.505,0.505,0,0.505,0.5,0.51,60,125923.92266999994,0,0
0.505,0.505,0.505,0.5,0.495,0.5,0.5,0.445,0.415,0.51,4,0.505,0.5,0.49,60,54702.592006000006,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.51,0.505,0.495,0.495,3,0.505,0.505,0.51,60,53152.65578899994,0,1
0.485,0.505,0.51,0.535,0.535,0.535,0.535,0.535,0.535,0.535,1,0.51,0.535,0.51,60,74713.04766299996,0,1
0.5,0.495,0.495,0.525,0.505,0.48,0.495,0.495,0.485,0.475,3,0.495,0.495,0.485,60,78214.48419699994,0,0
0.495,0.495,0.495,0.495,0.495,0.485,0.485,0.48,0.465,0.46,4,0.495,0.495,0.46,60,84975.92246299995,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.495,0.495,0.495,0.455,1,0.505,0.505,0.495,60,63983.663395000054,0,0
0.495,0.505,0.505,0.505,0.495,0.495,0.505,0.505,0.505,0.545,3,0.505,0.495,0.505,60,75486.33311999982,0,1
0.505,0.51,0.495,0.495,0.515,0.515,0.515,0.52,0.5,0.535,4,0.51,0.515,0.495,60,30561.156820999982,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.545,0,0.505,0.505,0.535,60,80985.97210899982,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.495,0.495,0.48,5,0.505,0.505,0.5,60,73536.0322359999,0,0
0.49,0.505,0.535,0.535,0.535,0.485,0.515,0.515,0.505,0.555,3,0.505,0.485,0.515,60,74321.87960399999,0,1
0.505,0.5,0.52,0.525,0.53,0.54,0.54,0.555,0.555,0.545,2,0.495,0.54,0.545,60,74258.4987319999,0,0
0.495,0.5,0.5,0.5,0.5,0.5,0.5,0.495,0.495,0.495,8,0.505,0.5,0.5,60,110599.72012500002,0,0
0.49,0.49,0.495,0.545,0.545,0.545,0.535,0.515,0.525,0.555,1,0.49,0.545,0.525,60,44039.693164999975,0,1
0.505,0.495,0.495,0.495,0.495,0.495,0.475,0.465,0.465,0.475,1,0.495,0.495,0.49,60,47322.953709999965,0,0
0.5,0.515,0.515,0.51,0.51,0.51,0.5,0.515,0.51,0.505,2,0.515,0.51,0.505,60,38964.258556999994,0,1
